order_id,product,category,price,quantity,customer_city,order_date,rating,has_rating,order_month,revenue,region,revenue_scaled,log_revenue
1024,Wireless Mouse,Electronics,799.0,3,Pune,2026-05-01,5.0,True,May,2397.0,West,0.21724004638577502,7.7823903355874595
1025,Notebook Set,Stationery,199.0,1,Pune,2026-06-14,4.0,True,June,199.0,West,0.004831851565519905,5.298317366548036
1026,Backpack,Fashion,1899.0,2,Hyderabad,2026-04-06,4.0,True,April,3798.0,South,0.35262852725164284,8.242493153187626
1027,Wireless Mouse,Electronics,799.0,4,Bangalore,2026-02-08,4.0,True,February,3196.0,South,0.29445303440278314,8.069968149059841
1028,Wireless Mouse,Electronics,799.0,3,Delhi,2026-01-02,2.0,True,January,2397.0,North,0.21724004638577502,7.7823903355874595
1029,Coffee Mug,Home,299.0,1,Mumbai,2026-06-05,4.0,True,June,299.0,West,0.014495554696559719,5.703782474656201
1030,Desk Lamp,Home,1249.0,3,Mumbai,2026-05-03,5.0,True,May,3747.0,West,0.3477000386548125,8.228977643358313
1031,Coffee Mug,Home,249.0,2,Pune,2026-05-19,5.0,True,May,498.0,West,0.033726323927328945,6.212606095751519
1032,Water Bottle,Fitness,449.0,3,Pune,2026-04-03,4.0,True,April,1347.0,West,0.11577116350985696,7.206377291472252
1033,Running Shoes,Fitness,3499.0,2,Bangalore,2026-05-27,3.0,True,May,6998.0,South,0.6618670274449168,8.85352256068954
1034,Water Bottle,Fitness,499.0,4,Hyderabad,2026-02-08,3.0,True,February,1996.0,South,0.17848859683030538,7.599401333415815
1035,Water Bottle,Fitness,799.0,2,Chennai,2026-06-08,4.0,True,June,1598.0,South,0.14002705836876692,7.377133712833954
1036,Wall Clock,Home,799.0,4,Bangalore,2026-04-23,3.0,True,April,3196.0,South,0.29445303440278314,8.069968149059841
1037,Coffee Mug,Home,399.0,4,Mumbai,2026-01-09,5.0,True,January,1596.0,West,0.13983378430614612,7.3758821482150125
1038,Yoga Mat,Fitness,849.0,4,Pune,2026-04-30,5.0,True,April,3396.0,West,0.31378044066486277,8.130647968160584
1039,Wireless Mouse,Electronics,749.0,2,Hyderabad,2026-03-25,4.0,True,March,1498.0,South,0.1303633552377271,7.312553498102598
1040,Water Bottle,Fitness,499.0,1,Bangalore,2026-05-26,4.0,True,May,499.0,South,0.03382296095863935,6.214608098422191
1041,Desk Lamp,Home,1299.0,3,Bangalore,2026-06-18,1.0,True,June,3897.0,South,0.36219559335137225,8.268218880067506
1042,Coffee Mug,Home,249.0,4,Hyderabad,2026-05-16,5.0,True,May,996.0,South,0.08185156551990722,6.904750769961838
1043,Wireless Mouse,Electronics,749.0,3,Mumbai,2026-04-29,5.0,True,April,2247.0,West,0.2027444916892153,7.717796211013582
1044,Desk Lamp,Home,1399.0,3,Pune,2026-01-08,5.0,True,January,4197.0,West,0.3911867027444917,8.342363500380579
1045,Wireless Mouse,Electronics,749.0,3,Hyderabad,2026-03-02,5.0,True,March,2247.0,South,0.2027444916892153,7.717796211013582
1046,Wireless Mouse,Electronics,799.0,4,Bangalore,2026-06-07,,False,June,3196.0,South,0.29445303440278314,8.069968149059841
1047,Yoga Mat,Fitness,849.0,1,Bangalore,2026-01-24,5.0,True,January,849.0,South,0.0676459219172787,6.745236349484363
1048,Yoga Mat,Fitness,849.0,1,Bangalore,2026-06-09,4.0,True,June,849.0,South,0.0676459219172787,6.745236349484363
1049,Bluetooth Speaker,Electronics,1999.0,2,Chennai,2026-02-23,5.0,True,February,3998.0,South,0.37195593351372247,8.293799608846818
1050,Backpack,Fashion,1899.0,4,Chennai,2026-03-27,4.0,True,March,7596.0,South,0.7196559721685349,8.935508711503221
1051,Wall Clock,Home,799.0,2,Delhi,2026-04-14,5.0,True,April,1598.0,North,0.14002705836876692,7.377133712833954
1052,Notebook Set,Stationery,299.0,3,Chennai,2026-01-26,5.0,True,January,897.0,South,0.07228449942017781,6.8001700683022
1053,Wall Clock,Home,799.0,4,Bangalore,2026-01-20,5.0,True,January,3196.0,South,0.29445303440278314,8.069968149059841
1054,Yoga Mat,Fitness,849.0,2,Bangalore,2026-02-01,2.0,True,February,1698.0,South,0.14969076149980673,7.4377951216719325
1055,Water Bottle,Fitness,499.0,3,Pune,2026-05-05,5.0,True,May,1497.0,West,0.1302667182064167,7.311886164077165
1056,Wireless Mouse,Electronics,749.0,2,Pune,2026-01-15,3.0,True,January,1498.0,West,0.1303633552377271,7.312553498102598
1057,Wireless Mouse,Electronics,899.0,4,Bangalore,2026-04-18,3.0,True,April,3596.0,South,0.3331078469269424,8.187855443695623
1058,Running Shoes,Fitness,3499.0,3,Hyderabad,2026-02-21,,False,February,10497.0,South,0.9999999999999999,9.258940041812245
1059,Wall Clock,Home,799.0,1,Hyderabad,2026-03-04,5.0,True,March,799.0,South,0.06281407035175879,6.684611727667927
1060,Wall Clock,Home,899.0,2,Bangalore,2026-03-03,5.0,True,March,1798.0,South,0.15935446463084654,7.4949862339505335
